# 用户|活动代码|事件时间|事件类型（曝光、点击、浏览次数）|经度|纬度

u001,A1,2020-01-01 12:02:01,1,101,39.904030
u002,A1,2020-01-01 12:02:01,2,99,39.904030
u003,A1,2020-01-01 12:02:04,1,99,39.904030

u004,A2,2020-01-01 12:02:02,1,101,39.904030
u005,A2,2020-01-01 12:02:02,2,102,39.904030
u006,A2,2020-01-01 12:02:02,2,99,39.904030

u007,A3,2020-01-01 12:02:03,1,88,39.904030
u007,A3,2020-01-01 12:02:03,3,89,39.904030
u008,A3,2020-01-01 12:02:03,3,100,39.904030


# 转换活动代码为活动名称  & 转换经纬度为地址
# 活动类型，地址 - 维度表
# 事件类型 - 事实表
u001,新人礼物,2020-01-01 12:02:01,1,北京市
u002,国庆长假,2020-01-01 12:02:01,2,上海市
u003,老客户回馈,2020-01-01 12:02:01,3,深圳市
u004,新人礼物,2020-01-01 12:02:01,4,北京市
